@hiroeritakahito 浮気してたら終わりなの。１２月に２回したから、未来永劫ありません。
@hiroeritakahito そうなんだ。そういう風に言ってたんだね。無理させました。申し訳ない。無意味だったね。
@hiroeritakahito 地獄に落ちろって解釈できたんだ。素晴らしい。
لحماية الدين و الإيمان و دعونا الله @R_3ei
@hiroeritakahito お前は水素に戻さない。
@hiroeritakahito そうでなければ、広く伝えられないだろう。そんな事もわからないのか？馬鹿者め。無礼だ。
@hiroeritakahito これの５倍のテキストは未読だ。２３３１０文字の一つ目で悟れよ。
@hiroeritakahito これの６倍のテキストの中の一つ目で語れよ。４６６２文字の中で最初の４文字で、十分に知れよ。そっちの本田 裕哉もな。 https://t.co/osJ3mqRxZk
@hiroeritakahito その予定でーす
قد نثرت ياربُ دعائي ، فإرحم اللهم ضعفي ورجائي  واجب دعوةً في لب قلبي ، وازل يارب همي وشقائي https://t.co/E1T0DNE9tY
無理があるな。同じだ。。。
実力や内容や才能の話ではない。やっていることがそこになってしまったら、芸術は終わってしまうのだ。
"超絶音痴　夜の女王のアリア

説明を読めばわかるだろう。自然に反してエゴを奏でるとはこれに他ならない。 https://t.co/twBRTPehvj"
そしてそれの犠牲は、人や子供や人間を罵倒している他ならない。ここまで人や心や自然や神を冒涜して、チャリティイベントとは、まさに、臍で茶が沸くというくらいふざけている。お金があるなら、芸術なんていらないの。
しかし、そこに超自然的な芸術の根本的なものを私から求めておいて、全てを裏切ったことによって、これが正当化されたということだ。それはなによりも芸術の冒涜であり、神の冒涜であり、人間の冒涜に他ならない。とんだ馬鹿者だった。大馬鹿ものだ。せいぜい認知欲求に支配されたエゴを奏でるがよい。
ここになんの真意があったのだというのだ。そして、ここに芸術を見出すとは、とんだ愚かなものだ。そもそも、芸術など見出していないのだろう。だとしたら、私にアドバイスなど求めるな。アドバイスなどない。おかげで、馬鹿にされたのは良い。 https://t.co/Mhg1ytcbEi
己を認識する上で宗教に彩られた神を崇めることにより、素晴らしい想像力を与えてくれている。それは神を信仰した先祖からのメッセージに他ならない。神に救われるのも神に祈るのも人類の先祖が未だに私たちに希望を与えてくれる宗教としての神の優しさであり祖先が崇めた神であり、そもそも神である。
この神とはまさに全知全能の神というものであり普遍的かつ恒久的であり、宗教的な意味合いからすると、広意義になりそこから学ぶことは人類の定める神とは似て異なる神ではある。様々な神はいるが、この恒久的な存在を包括している、または違うと定める。それは人類に必要なのは明らかである。
"認識しないことによって、己を全ての現象から消滅できるのであれば、認識や現象について議論の余地は出てくるだろう。しかしそれは無理である。
それは自身が存在する事を存在だけで認識しえないからであり、認識する媒体に支えられてしまっているからであり、それを人類は神としている。"
神を認識しないことによって、己を全ての現象から消滅できるのであれば、神について議論の余地は出てくるだろう。しかしそれは無理である。
その説明において人類は知覚の外にある認識せざる得ない現象を、長い間にわたり議論しているが、科学をもっても、進化をもっても、不可能である。ないものがあるとする以上、ないものをすべて知覚することを証明できないからである。それは全知全能の神にしか置き換えられないことであり、全てである。
どちらにせよどのような認識をする上でも私たちが考えているような次元での認識において制限がある以上。その制限を認識せざる得ない。しかしそれを認識している以上はもちろん制限の外を認識している他ならない。知覚しているかどうかによるところ。知覚範囲外を定めることは認識していることになる。
他人を認識する上で、他人の認識により自身を認識する能力を人類が有している。魂は全体で一つなり、魂は自身の身体を抜けて他のものに依存できそこからの認識を自身に取り入れられるような場合があるとしたら、神の存在はまた違ってくることはある。しかしそうしたところで依存先の認識も自身となる。
そのような認識が、個人千差万別である限り、神は一つとしての現象として証明できる訳だし、それは神が一つである他ならない。
とのこと。ようするに、そのように認識をする上で神というのは神としての存在たる所以であるし、無神論者的に言うとその認識において投影される影をなす部分、影をなす事によって自身が認識をしているものごとに対して、名前をつけるか否かということに他ならない。
「精神はそれ自らおよび身体を、永遠の相の下に認識するかぎり、必然的に神の認識を有し、みずからが 神の中にあり、神を通して考えられることを知る」ことから、人間は神への知的愛に達し、神が自己自身を認識して満足する無限な愛に参与することで最高の満足を得ることができるとスピノザは想定する
表象的な認識に依存した受動感情を破棄するものは、必然性を把握する理性的な認識に繋がる。われわれの外部にある事物の能力で定義されるような不十全な観念（記憶力にのみ依存する観念）を去って、固有の能力にのみ依存する十全な諸観念を形成することを可能にするものは、理性的な認識であるとする。
個々の意志は必然的であって自由でないとした上、意志を個々の意志発動の原因として考えるのは、人間というものを個々の人間の原因として考えると同様に不可能とする。また観念は観念であるかぎりにおいて肯定ないし否定を包含するものとしており、自由意志と解される表象像言語は自由意志に帰属する。
لا إله إلا الله مخلصين له الدين ولو كره الكافرون https://t.co/E1T0DNE9tY
スピノザは、デカルトとは異なり、自由な意志によって感情を制御する思想を認めない。むしろ、スピノザの心身合一論の直接の帰結として、独立的な精神に宿る自由な意志が主体的に受動的な身体を支配する、という構図は棄却される。
人間の有限な精神は、全自然を認識する或る無限の知性の一部。この全自然に自己のうちに含むところの思惟する無限の力を認識する。思惟という側面から見れば自然は精神であり、延長という側面から見れば自然は身体である。両者の秩序は、同じ実体の二つの側面を示すから、一致するとしている。
スピノザは「人間精神を構成する観念の対象は存在する身体である」と宣言。な「延長する物および思惟する物は神の属性の変状である」以上、二つは同じものの二つの側面に他ならないからである。心身の合一という我々の現実。精神の変化は身体の変化に対応しており、精神は身体から独立しえない。
完全性を包括神は、自己の完全性の力に帰属する（自己原因）いいかえれば、神は超越的な原因ではなく、万物の内在的な原因。神とはすなわち自然(人やすべて）である＝一元論汎神論。神が唯一の実体である以上、精神も身体も、唯一の実体である神における二つの異なる属性としての思惟と延長である。
フロムによれば人は自分の有機体としての成長と自己実現が阻まれるとき、一種の危機に陥る。この危機は人に対する攻撃性やサディズムやマゾヒズム、および権威への従属と自己の自由を否定する権威主義に向かうことになる。
そもそも、財産や名声、集団への帰属が根本的な解決になるなら、推してしかるべきなのだろう。 https://t.co/CnVXm6Q0d8
そういうのが幅を利かせてるから、芸術は敗退して腐敗しているのだよ。そんな事になにを魅力を見出そうと、資本を獲得しようとする？そのエゴが蝕むものがどれだけ尊いものか、それを犠牲にして己の未熟さを正当性をもたせるなら、それは芸術家を名乗るべきじゃない。エンターテイナーと名乗るべき。
人にチケットなんぞ売ったことがない。自分の演奏の。自分が払って聞きに来てもらう、それくらいの緊張感も持てないなら、人前に出るのは憚かる方がいいだろう。まず。、
@BlueT_aocha あなたの育てた体たらくをご覧なさい
@BlueT_aocha 桐朋どころじゃない。自分たちのザマをみてから、世の中のランクを気にしなさい。みてるこっちは不愉快でしかたないし、やってる人間がみすぼらしいだけだ。
@BlueT_aocha 俺は構わない。気にしない。比ではない。けれども、俺が人を誘って、桐朋にお願いしたという無礼な発言は、あなたオーナーの発言ですよね？そうやって、人に泥を間接的に塗っていることをどれだけ自覚をしているのか。それが人を紹介してくれと言った人間の言葉なのか。
اللهم صل وسلم على نبينا محمد  https://t.co/E1T0DNE9tY
https://t.co/oMFIxcggPR https://t.co/oMFIxcggPR
アルワリード慈善団体 https://t.co/7u2pLzK6Jm
@hiroeritakahito わざわざ書き直したの？
@hiroeritakahito 繋がりが読めないの？
@hiroeritakahito 代弁ありがとう。
@hiroeritakahito そんな神らしい事を述べて良いんですか？神さま。
@hiroeritakahito 神について、神らしい事を一つ述べて下さい。
@hiroeritakahito 怖くない。ゴールデンウィークが嫌いなのは昔からだ。誕生日なんて祝ってもらったことないね。
@hiroeritakahito 早いな。何もかも変更が。指の運動じゃないだろ？俺が知ってる限り、そこまで早くてそこそこ下らないレベルを保てるレスをできる人間は、ここにはこうして現れないはずだ。
@hiroeritakahito 指の運動！！！リハビリか？それなら、悪かった。謝るよ。不憫だな。同情して欲しかったのか。
@hiroeritakahito 俺が言ってることわかる？生ゴミに振り回されてるんじゃないの？上に辿れよ。
@hiroeritakahito 殺してくれ。なんなら。
@hiroeritakahito 謝れよ。生ゴミじゃなくて、生ゴミ以下の俺の事で必死になってる人にな。
اللهم منزل الكتاب سريع الحساب اهزم الأحزاب اللهم اهزمهم وزلزلهم https://t.co/E1T0DNE9tY
@hiroeritakahito 幾らでもけしかけて欲しいけど、つまらない。正直、張り合いがなさすぎる。人のツイートに便乗するなら、考えてから来なさい。自分のことを。
@hiroeritakahito 俺の不幸が酒の肴になるなら、それは不幸ではなくなる。応援してくらないて良いですから。
@hiroeritakahito お前が来たんだろう？本当に大丈夫か？俺のアカウント気取るなら字が間違ってるぞ。本田 裕哉だ！
@hiroeritakahito ああ。生ゴミ以下だもの。それに維持になってる人に失礼だよ。
@hiroeritakahito 終わりか？
@hiroeritakahito 不幸になりたいのかい？なら賢くなれ。
@hiroeritakahito なんで俺がイスラム国に行く必要があるんだ。関係ないだろう。
@hiroeritakahito おめであたま？
@hiroeritakahito ああ。受け売りという動詞を使うことがあるという事は、お前はそうとうなもんだ。
@hiroeritakahito はー。つまらない。
@hiroeritakahito お前がその稚拙で足りない頭で神のことを語れるなら、俺はあなたを推薦して、消えましょう。
@hiroeritakahito 僕も聞きたいくらいだ。それでも困る事はない。残念だな。
@hiroeritakahito 意味もないことありそうに言うんじゃないよ。ほんとクズだな。
@hiroeritakahito 知ってるよ。馬鹿か。
@hiroeritakahito もう終わりか？
@hiroeritakahito なんの話し？本当に大丈夫？俺は馬鹿が嫌いなんだけれども。
@hiroeritakahito それを言ったら、話をする価値もない。もう少しボキャブラリーとウィットと脳細胞を磨いてくれば？
@hiroeritakahito そんなに話題になるのかい？その心は？
@hiroeritakahito お前がこわせよ。
@hiroeritakahito キャプった？？
@hiroeritakahito 糖質？
@hiroeritakahito ありがとう。友達はね。残念ながら、色目的にどうしても走るから、僕はゲイとして生活する上で、とりあえず必要ないと。その一線を守れる人はいないんでね。
@hiroeritakahito ああ。それがなんだと言うのだ。お前は神がなんだか知っているのか？
@hiroeritakahito 言われなくても、実行中。
@hiroeritakahito その通り。僕の目的ですから。
@hiroeritakahito 日本語をお願いします。
@hiroeritakahito お前が初めて耳にしただけだろう。
@hiroeritakahito してくれ。なんなら、自分から行くかい？いつでもいいぞ。
@BlueT_aocha 以上、私が懸念する事に対して、正直に述べました。そんな風にして、僕の幸福など願わないで下さいね。なんでそう思うのか。理解できる所存と思っております。本田 裕哉
@BlueT_aocha 僕は難しい事は分からないとは言いませんよね？自分の事だから。応援していますよ。
@BlueT_aocha 三者三様に仕組まれてるんでしょうから。
@BlueT_aocha だとしたら最初に述べた通りです。あなたは真剣に自分の事を正攻法で周りに接しているのでしょう。それによってあなたが報われてしまう事はないでしょう。だとしたら、もっとマシな行動、せめて墓穴を掘るような真似をしないでくださいね。
@BlueT_aocha 目的がそんなに献身的なプロパガンダに則って使命を果たしているなら、人の人生を馬鹿にするんじゃないです。あなたが世界を牛耳れば良い。そういう事に心当たりがないのならば、三者三様にトリックにかかっているんでしょう。認識できますか？
@BlueT_aocha そんな皮肉な事に、誰が正面から協力するんですか？そもそも協力してる為の二人の関係ですか？だとしたら、僕は許しません。そんな非倫理的な事を許しませんし、なんの得があるんですか？給料でももらってるんですか？だとしたら、偽善者甚だしい。
@BlueT_aocha 台無しになれば、僕はあなたの前から本当に消えるでしょう。肇ちゃんを見捨てて。そうなる様に努めて協力してくださいね。無視ばっかりしてると、僕は欲しいものをかっぱらって行くつもりですし、あなたに還元されないように、破棄します。
@BlueT_aocha それを叶えてあげたいんですよ。
@BlueT_aocha できれば、俺の事を敢えて騙し続けて下さい。最終的には僕が何もかもぶち壊して台無しにしますけど、そこで台無しになってくれるのが誠一さんの本望ですよね？
@BlueT_aocha きちんと頭を使ってみてはいかがですか？僕は全てをぶち壊さなきゃいけないので、そこをぶち壊すのは本望ではないんですよ。わかります？
@BlueT_aocha 全くの善とか徳とか得とかでないのなら、落とし穴があるんでしょう。何かに騙されているのかもしらないですね。もしくはトリックに掛かっているか。あなたかたお互いの欲動を邪魔する気もないし、見たくもない、関わりたくもないので
@BlueT_aocha そして俺の勘なんですけど、そちらが現象として俺と同じという事はないでしょう。しかし、僕にも二転三転していく事があるでしょう。そして、どこから認識してるのかわかりませんけど。これがフェアだとしたら（じゃなかったら大問題だ）あなたの食指はナンですか？
@hiroeritakahito その通り。殺してくれない？
اللهم إني أسألك العافية في الدنيا والآخرة و في ديني ودنياي وأهلي ومالي اللهم استر عوراتي وآمن روعاتي https://t.co/E1T0DNE9tY
@BlueT_aocha ちょっとブサイクだからって調子に乗るなよ。お前の方だよ。そしてちょっとじゃ済まないんだよ！
@BlueT_aocha 自分たちの事だけですか？とことん。究極に。これ以上ないくらいに。
@BlueT_aocha どうしたら良いですか？後始末。。。
@BlueT_aocha そういえば、誠一さんの彼氏さんに破られた鏡とか。僕も個人で謝罪はしたつもりなんですけど。どうしたら良いですか？上司であり責任者であり保護者であり恋人なんですよね？ https://t.co/e7A2Whsjmr
اللهم إني أعوذ بك من عذاب القبر ومن عذاب جهنم ومن فتنة المحيا والممات ومن شر فتنة المسيح الدجال https://t.co/E1T0DNE9tY
@hiroeritakahito Googleが良いんですかね。オススメがあれば。
ما من عبدٍ يذنب ذنباً فيحسن الطهور ثم يقول فيصلي ركعتين ثم يستغفر الله إلا غفر الله لهُ https://t.co/E1T0DNE9tY
الحمد لله الذي أطعمنا وسقانا وكفانا وآوانا فكم ممن لا كافي له ولا مؤوي https://t.co/E1T0DNE9tY
"Perfume -edge

Down Down a clip round you fall in drops setting a trap
I've fallen into a trap for you
 https://t.co/I0Gh7smaqo"
"ppl pure than a person like that. 

Bless you"
"without killing not harnessed the opponent , for his own self-interest and libido , than those who bestow the sacrifice to myself , better"
"a person to live. No thanks, without giving even love ,a person want you love or give life.without hesitation from other and"
"Joffrey Ballet 1989 Rite of Spring 1

ppl always do. for you. for god.for neighbor I love you and for you.  https://t.co/YN0SCriaLs"
「神のために犠牲になりなさい。あなたは選ばれたのだ。まことに高尚にて名誉あることだ。迷うことはない。加護がついている。あなたは神に受け入れられるのだ」と、人を殺す人間を、神は人間として殺される人間を愛する立場で、人々のそれを咎めることはない。愛する生贄になる女子と民の信仰だから。
ppl said its every for gods.
ppl can't catch scare things themselves.ppl beg a favor of them to god's. ppl wasted no time deciding to kill a girl.
actually I think if you scare the god.Why you did.kill a girl to sacrifice. Gods need love too.but ppl does Sach  a things again n again.
the god's does not stop lover killed them. it's god's.
you know? this girl are loved from god's.people never know god's are emerged as one of them and looking them in silence.
"1987 Rite of Spring (3 of 3) ppl sacrifice a girl to the god  rasūl said gods need a kiss to ground.but ppl kill'em, https://t.co/CBAA34hzqd"
"Joffrey Ballet Rite of Spring 1987

gots kissed to the ground. The ppl getting mad to rasūl and... https://t.co/yHMoSKLFSC"
late for my own riot of the spring.I might wrestle with the angels of my own invention.acutually I'm devil so I broken the Ideologie.
سبحان الله وبحمده سبحان الله العظيم سبحان الله عدد النعم سبحان الله عدد خلقه، ورضى نفسه، وزنة عرشه، ومداد كلماته https://t.co/E1T0DNE9tY
لا إله إلا الله وحده لا شريك له له الملك وله الحمد وهو على كل شيء قدير https://t.co/E1T0DNE9tY
"結果それで、俺が満足しますと。
それに伴い、罪の意識に乏しい、狂ってる人間が、この中にどれだけウジャウジャいるのか？
最後にやりましょう。カーテンコールで。アンコールはフェイクではないギロチンが落ちるだろう。"
だから心苦しいとおもいつつ、精一杯やろうとしてるんだよな？心苦しいのか知らないけど。そんな風に思ってるなら、とんだ偽善者だな。自分の事だけ大切で、他人に心苦しいなんてもんじゃあない、倫理的に狂ってることをおしつけて？
@sbter79 裏切られていくだけのこと。今までと同じこと。死んでやる。殺されるって事だ！！！！
اللهم صل وسلم على سيدنا محمد وعلى آله وصحبه أجمعين https://t.co/E1T0DNE9tY
ことごとく、裏切られて行けば、俺はみんなを裏切って死んでやる。
うるせー！
@BlueT_aocha ああ、こちらがうかがうのは迷惑なのは解ってる。そのことについて、あなたはどれだけ人の迷惑を犠牲にして商売をしているのか、お聞かせ願いたい。
@sbter79 殺してやる！
@sbter79 死にたい死にたい死にたい死にたい死にたい。理不尽すぎて！死んで恨んでやりたい！
やっぱり無理だ。
Thanks to my top interactors!  @oboister @BlueT_aocha @huj_fufhjhvgh @ok847 @JD_of_T @Sbter7   via https://t.co/h6x1EgoSQ0
…そしてどこにも山の姿はない https://t.co/ZTXdhGpqyI
الذكر بعد الفراغ من الوضوء:سبحانك اللهم وبحمدك أشهد أن لا إله إلا أنت أستغفرك وأتوب إليك https://t.co/E1T0DNE9tY
贄 https://t.co/AqEmwpZqSx
دعاء السجود:اللهم لك سجدت وبك آمنت ولك أسلمت سجد وجهي للذي خلقه وصوره وشق سمعه وبصره تبارك الله أحسن الخالقين https://t.co/E1T0DNE9tY
My favorite is May 7 of year Snape is coming. my birthday is next day and night of all of selves
Thanks to my top interactors!  @826chacha @wild_fiction @Sbter2   via https://t.co/h6x1EgoSQ0
"Do you have a distance of one area of ​​the senses? Also it is whether a human area. And, whether we are aware that what is involved?"
لا إله إلا الله مخلصين له الدين ولو كره الكافرون https://t.co/E1T0DNE9tY
يا الله، وسوف نبذل حسن حظ الدنيا والآخرة كعبد
"Bat.la 1 Sdtsagr is the bee Stanleekp Fort serious chance of Mitch, please refer to the high-speed ran."
ملابس جديدة كنت يرتدي حسن المحيا، من أجل تلبية منزل جديد، وصلاة جديدة ارتداء دائما الشهيد الشهيد حميدة لعظم العضد ارتداء الملابس الرجاء إلى
Don't be afraid to give up the good to go for the great. - John D. Rockefeller #quote
صلوا لأجل الذين يرتدون ثوب جديد: هل ارتدى العضد الشهداء من العش الجديد حميدة
This is now Makaminari  and Facebook from the battlefield of the United States Tanzimat force https://t.co/808IQDbtgL
الرجاء التسجيل في نظام بعض المال خطيرة. لبيع بسعر لكسب الأعمال العالمي، سوف تكون قادرة على استخدام هذا واحد
الدعاء لمن لبس ثوباً جديداً:إلبِسْ جَدِيداً وعِشْ حميداً ومُتْ شهيداً https://t.co/E1T0DNE9tY
جنازتي، إذا كنت تريد أن تحترم قلب لعبة لجميع من حياتي، س غير كامل، وغير، ويستغرق حوالي 1 السؤال
"There is my funeral, my life is, it is to win anyone when it comes to game kahoot to about 1,000 questions to get my whole will"
"Har Al Hilal
Players Crescent: I ask God to LinkedIn one single public school Matstahlon Asha prohibits the dustbin of history."
"Away from me, I will keep FUCK the energy to push down the negative dark of downer,"
@mothanna80 have been experimenting with the industry (HR Muslim) not sbtero
"@mothanna80 family and Jurni museebati Almighty that have been received by any of the Iraqi soldiers,"
"@mothanna80 in order to be ""the good people words Akhlifli Minha fish God Yan'akan,"
"@mothanna80 because you belong to Paharakatsuo cationic bike this is his , because he died in a different bike,"
"@mothanna80 as long as it is without a doubt, more and more of the Muslim army in this case also between, from Australia) destruction,"
"@mothanna80 TAS 2 Nooyi for a commission to the technology, llaihi God ISSI's raaji'un mast, because they do not go,"
- ¿Quién debe cuidar de Linda está hecho. https://t.co/UguYGrrsDx
"La gonorrea no es suficiente para todos.
gonorrea completa.
Estaba llena de gonorrea.
Esta es la gonorrea. https://t.co/10XzgJHdkW"
"Gonorrhea is not enough for everyone.
Fulfilled gonorrhea.
one is filled with gonorrhea.
This is gonorrhea. @Stalkeemeestas"
アタチュルクアタチュルクの災害は、そのような敵と、この国では私の宗教でした。@55_ebulhasan
